Device Name,K1_2498375,,,
Device Model,Kestrel DROP 2,,,
Serial Number,2498375,,,
FORMATTED DATE-TIME,Temperature,Relative Humidity,Heat Stress Index,Dew Point
YYYY-MM-DD HH:MM:SS,°C,%,°C,°C
5/29/20 9:20,18.4,91,18.8,16.9
5/29/20 9:30,17.1,92.1,17.5,15.8
5/29/20 9:40,17.5,95.3,18,16.8
5/29/20 9:50,18.7,98.6,19.4,18.4
5/29/20 10:00,19.1,99.8,20,19.1
5/29/20 10:10,18.5,100,19.4,18.5
5/29/20 10:20,17.7,100,18.5,17.7
5/29/20 10:30,18,100,18.8,18
5/29/20 10:40,18.5,100,19.4,18.5
5/29/20 10:50,18.5,100,19.4,18.5
5/29/20 11:00,18.9,100,19.8,18.9
5/29/20 11:10,19.8,100,20.8,19.8
5/29/20 11:20,21.5,99.9,22.7,21.5
5/29/20 11:30,22.4,91,23.7,20.9
5/29/20 11:40,22.6,83.6,23.6,19.7
5/29/20 11:50,23.2,81.8,24.1,19.9
5/29/20 12:00,23.6,77.6,24.5,19.5
5/29/20 12:10,23.4,77.1,24.2,19.2
5/29/20 12:20,23.5,76.1,24.3,19
5/29/20 12:30,22.8,75.6,23.4,18.2
5/29/20 12:40,23.3,80.8,24.2,19.8
5/29/20 12:50,23.6,81.2,24.6,20.2
5/29/20 13:00,21.2,77.7,21.7,17.2
5/29/20 13:00,21.3,77.7,21.7,17.2
5/29/20 13:10,22.9,83.1,23.8,19.9
5/29/20 13:20,23,82.8,24.1,19.9
5/29/20 13:30,22.4,83.5,23.4,19.5
5/29/20 13:40,22.4,82.1,23.2,19.2
5/29/20 13:50,22.4,83,23.2,19.4
5/29/20 14:00,22.7,82.8,23.7,19.6
5/29/20 14:10,22.8,83.9,23.8,19.9
5/29/20 14:20,22,80.7,22.8,18.6
5/29/20 14:30,22.2,80.3,23,18.7
5/29/20 14:40,22.1,79.4,22.7,18.3
5/29/20 14:50,21.8,77.4,22.3,17.6
5/29/20 15:00,22,76.5,22.5,17.7
5/29/20 15:10,21.8,71.7,22.2,16.5
5/29/20 15:20,21.4,70.4,21.7,15.8
