Device Name,K2_2498465,,,
Device Model,Kestrel DROP 2,,,
Serial Number,2498465,,,
FORMATTED DATE-TIME,Temperature,Relative Humidity,Heat Stress Index,Dew Point
YYYY-MM-DD HH:MM:SS,°C,%,°C,°C
6/10/20 9:20,17.9,70.2,17.2,12.4
6/10/20 9:30,18,79.8,17.8,14.5
6/10/20 9:40,19.3,81.9,19.4,16.2
6/10/20 9:50,18.5,78.5,18.2,14.8
6/10/20 10:00,17.5,75.1,17,13
6/10/20 10:10,17.8,76.9,17.5,13.7
6/10/20 10:20,17.8,75.9,17.4,13.6
6/10/20 10:30,17.7,75.1,17.3,13.3
6/10/20 10:40,18,75.2,17.6,13.6
6/10/20 10:50,18.5,77.2,18.2,14.4
6/10/20 11:00,18,77.1,17.7,14
6/10/20 11:10,18.2,77.6,17.9,14.2
6/10/20 11:20,18.2,78.1,17.9,14.3
6/10/20 11:30,19.5,78.4,19.5,15.6
6/10/20 11:40,19.8,76.9,19.7,15.6
6/10/20 11:50,19.4,75.4,19.3,15
6/10/20 12:00,19.1,75.2,18.9,14.6
6/10/20 12:10,19.7,75.6,19.7,15.3
6/10/20 12:20,19.8,75.5,19.7,15.3
6/10/20 12:30,19.7,78.4,19.7,15.9
6/10/20 12:40,19.5,80.1,19.6,16
6/10/20 12:50,19.4,80,19.5,15.9
6/10/20 13:00,19.4,79.2,19.5,15.7
6/10/20 13:10,19.8,80.3,20,16.4
6/10/20 13:20,20.7,79.8,21,17
6/10/20 13:30,21.7,78.4,22.2,17.8
6/10/20 13:40,22.1,76.1,22.6,17.7
6/10/20 13:50,23,77.4,23.7,18.8
6/10/20 14:00,22.2,77.9,22.9,18.2
6/10/20 14:10,23,78.5,23.8,19.1
6/10/20 14:20,20.7,64.2,20.4,13.7
6/10/20 14:30,20.4,66.9,20.2,14.1
6/10/20 14:40,20.3,65.6,19.9,13.6
