Device Name,K2_2498465,,,
Device Model,Kestrel DROP 2,,,
Serial Number,2498465,,,
FORMATTED DATE-TIME,Temperature,Relative Humidity,Heat Stress Index,Dew Point
YYYY-MM-DD HH:MM:SS,°C,%,°C,°C
5/27/20 8:30,22.7,71.2,23.2,17.2
5/27/20 8:40,22.2,68.8,22.5,16.2
5/27/20 8:50,21.8,69,22.1,15.9
5/27/20 9:00,21.8,69.4,22.1,15.9
5/27/20 9:10,22,69.3,22.4,16.1
5/27/20 9:20,22.7,70.7,23.1,17.1
5/27/20 9:30,22.8,69.4,23.1,16.9
5/27/20 9:40,22.7,68.6,23,16.6
5/27/20 9:50,22.6,67.8,22.9,16.4
5/27/20 10:00,22.1,67.2,22.3,15.7
5/27/20 10:10,21.9,67,22.2,15.5
5/27/20 10:20,22.1,66.6,22.3,15.6
5/27/20 10:30,22.5,66.4,22.8,16
5/27/20 10:40,23.2,66.9,23.5,16.8
5/27/20 10:50,23.3,66.4,23.6,16.7
5/27/20 11:00,23.8,66.4,24.1,17.2
5/27/20 11:10,23.6,66.4,23.9,17
5/27/20 11:20,23.5,66.8,23.8,17
5/27/20 11:30,23.4,68,23.7,17.1
5/27/20 11:40,23.5,69.4,24,17.6
5/27/20 11:50,23.4,70.2,23.9,17.7
5/27/20 12:00,23.7,71.6,24.3,18.3
5/27/20 12:10,24.2,73.8,24.9,19.2
5/27/20 12:20,24.2,74,25,19.3
5/27/20 12:30,24.5,75.9,25.4,20
5/27/20 12:40,24.8,76.5,25.9,20.4
5/27/20 12:50,24.2,75.6,25.1,19.7
5/27/20 13:00,24.3,76.6,25.2,19.9
5/27/20 13:10,23.5,75.8,24.2,19
5/27/20 13:20,23.4,76.9,24.1,19.1
5/27/20 13:30,23.5,76.9,24.2,19.2
5/27/20 13:40,23.2,77.2,23.9,19
5/27/20 13:50,23.2,78,24,19.1
5/27/20 14:00,23.2,78.1,24,19.1
5/27/20 14:10,23,78.2,23.8,19
5/27/20 14:20,22.9,77.6,23.6,18.8
5/27/20 14:30,22.8,77.8,23.5,18.7
