Device Name,K2_2498465,,,
Device Model,Kestrel DROP 2,,,
Serial Number,2498465,,,
FORMATTED DATE-TIME,Temperature,Relative Humidity,Heat Stress Index,Dew Point
YYYY-MM-DD HH:MM:SS,°C,%,°C,°C
5/28/20 10:10,17.8,80.3,17.6,14.4
5/28/20 10:20,18,85.3,18,15.5
5/28/20 10:30,18.4,89.9,18.6,16.7
5/28/20 10:40,18.9,92.1,19.4,17.6
5/28/20 10:50,19,92,19.6,17.7
5/28/20 11:00,20.3,95.1,21,19.5
5/28/20 11:10,21.1,96.1,22,20.4
5/28/20 11:20,21.2,96.4,22.2,20.6
5/28/20 11:30,22.5,98.1,24,22.2
5/28/20 11:40,23.2,98.9,25.2,23
5/28/20 11:50,22.1,94.6,23.3,21.1
5/28/20 12:00,23,95.2,24.6,22.2
5/28/20 12:00,23,95.2,24.7,22.2
5/28/20 12:10,23.1,93.3,24.6,21.9
5/28/20 12:20,22.7,92.2,24.1,21.4
5/28/20 12:30,22.2,90.7,23.3,20.6
5/28/20 12:40,22.1,89.9,23,20.3
5/28/20 12:50,22.1,90,23.3,20.4
5/28/20 13:00,22.6,90.7,23.9,21
5/28/20 13:10,23.1,91.5,24.7,21.6
5/28/20 13:20,22.9,90.4,24.2,21.2
5/28/20 13:30,22.5,89.2,23.6,20.6
5/28/20 13:40,22.5,88.5,23.7,20.5
5/28/20 13:50,22.6,88,23.7,20.4
5/28/20 14:00,22.7,87.6,23.9,20.5
5/28/20 14:10,22.8,86.1,24,20.4
5/28/20 14:20,19.3,74.5,18.9,14.6
5/28/20 14:30,19.8,75.4,19.7,15.3
5/28/20 14:40,19.6,75.1,19.6,15.1
