Device Name,K2_2498465,,,
Device Model,Kestrel DROP 2,,,
Serial Number,2498465,,,
FORMATTED DATE-TIME,Temperature,Relative Humidity,Heat Stress Index,Dew Point
YYYY-MM-DD HH:MM:SS,°C,%,°C,°C
5/29/20 9:20,17.4,83.5,17.4,14.6
5/29/20 9:30,16.7,87.5,16.8,14.6
5/29/20 9:40,16.7,91.6,17,15.4
5/29/20 9:50,18,96.2,18.6,17.4
5/29/20 10:00,18.8,98.4,19.6,18.5
5/29/20 10:10,18.1,97.7,18.8,17.7
5/29/20 10:20,17.4,97,18,16.9
5/29/20 10:30,17.5,97.6,18.2,17.1
5/29/20 10:40,18,98.6,18.6,17.7
5/29/20 10:50,18,99,18.6,17.8
5/29/20 11:00,18.3,99.3,18.9,18.2
5/29/20 11:10,19.6,100,20.5,19.6
5/29/20 11:20,21.5,100,22.5,21.5
5/29/20 11:30,21.9,100,23.1,21.9
5/29/20 11:40,22.5,100,24,22.4
5/29/20 11:50,23.2,100,25.1,23.2
5/29/20 12:00,23.6,100,25.9,23.6
5/29/20 12:10,23.4,100,25.4,23.4
5/29/20 12:20,24.1,100,26.6,24.1
5/29/20 12:30,23.4,100,25.4,23.4
5/29/20 12:40,23.1,100,25.1,23.1
5/29/20 12:50,23.9,100,26.3,23.9
5/29/20 13:00,21.8,85.5,22.6,19.3
5/29/20 13:10,23.4,94.9,25.1,22.5
5/29/20 13:20,23.8,96.6,25.8,23.2
5/29/20 13:30,23.2,96.3,25,22.6
5/29/20 13:40,22.8,92.7,24.3,21.6
5/29/20 13:50,23,93,24.4,21.8
5/29/20 14:00,23.3,92,24.8,21.9
5/29/20 14:10,23.3,91.3,24.9,21.8
5/29/20 14:20,22.7,89.1,23.8,20.8
5/29/20 14:30,22.6,89.1,23.7,20.7
5/29/20 14:40,22.1,86.3,23.1,19.7
5/29/20 14:50,21.8,82.5,22.5,18.7
5/29/20 15:00,22.1,84.9,22.9,19.4
5/29/20 15:10,21.6,77.7,22.2,17.5
5/29/20 15:20,21.2,83.8,21.9,18.4
