Device Name,K3_2498468,,,
Device Model,Kestrel DROP 2,,,
Serial Number,2498468,,,
FORMATTED DATE-TIME,Temperature,Relative Humidity,Heat Stress Index,Dew Point
YYYY-MM-DD HH:MM:SS,°C,%,°C,°C
5/27/20 8:30,23.6,57.8,23.4,14.8
5/27/20 8:40,23.4,58.8,23.2,14.9
5/27/20 8:50,23.2,59.4,23.1,14.8
5/27/20 9:00,23.2,59.2,23.1,14.8
5/27/20 9:10,23.7,58,23.5,14.9
5/27/20 9:20,25.3,58.1,25.3,16.5
5/27/20 9:30,25.4,55.3,25.2,15.8
5/27/20 9:40,25.6,55.5,25.6,16.1
5/27/20 9:50,25.2,53,24.8,14.9
5/27/20 10:00,24.6,54.1,24.2,14.7
5/27/20 10:10,24.8,54.9,24.4,15.1
5/27/20 10:20,25.4,54.4,25.2,15.5
5/27/20 10:30,26.2,52.6,26.2,15.8
5/27/20 10:40,28.2,51.6,28.7,17.3
5/27/20 10:50,28.3,50.9,28.9,17.2
5/27/20 11:00,28.8,47.6,29.4,16.6
5/27/20 11:10,28.7,46.5,29.1,16.1
5/27/20 11:20,28.4,46.1,28.4,15.7
5/27/20 11:30,28.8,45.8,28.9,16
5/27/20 11:40,28.8,45.4,29.1,15.8
5/27/20 11:50,28.2,44.2,27.9,14.9
5/27/20 12:00,29.5,43.4,29.9,15.8
5/27/20 12:10,31,43,32,16.9
5/27/20 12:20,30.8,42,31.6,16.4
5/27/20 12:30,31.8,41.8,33.1,17.2
5/27/20 12:40,32.1,40.1,33.5,16.8
5/27/20 12:50,30.2,41.1,30.5,15.5
5/27/20 13:00,30.3,41.6,30.8,15.8
5/27/20 13:10,27.9,43.8,27.3,14.5
5/27/20 13:20,28.2,45.1,28.1,15.2
5/27/20 13:30,27.7,43.8,27.2,14.3
5/27/20 13:40,26.9,46.5,26.5,14.5
5/27/20 13:50,27.1,49.7,27,15.7
5/27/20 14:00,26.9,50.3,26.8,15.7
5/27/20 14:10,26.4,57.6,26.8,17.3
5/27/20 14:20,25.8,50.1,25.5,14.6
5/27/20 14:30,25.9,55.8,25.9,16.4
