Device Name,K3_2498468,,,
Device Model,Kestrel DROP 2,,,
Serial Number,2498468,,,
FORMATTED DATE-TIME,Temperature,Relative Humidity,Heat Stress Index,Dew Point
YYYY-MM-DD HH:MM:SS,°C,%,°C,°C
5/26/20 8:50,20.8,63.2,20.7,13.6
5/26/20 9:00,21,75.5,21.3,16.5
5/26/20 9:10,22,73.8,22.4,17.1
5/26/20 9:20,20.9,72.8,21,15.8
5/26/20 9:30,20.7,73.6,20.9,15.8
5/26/20 9:40,20.8,74.8,20.9,16.2
5/26/20 9:50,21,74.6,21.3,16.3
5/26/20 10:00,21.6,76.6,22.1,17.3
5/26/20 10:10,21.4,76.3,21.9,17.1
5/26/20 10:20,22.3,78.2,23,18.3
5/26/20 10:30,21.6,77.1,22.2,17.4
5/26/20 10:40,22,79.8,22.6,18.3
5/26/20 10:50,22,76.1,22.5,17.6
5/26/20 11:00,21,75.2,21.3,16.4
5/26/20 11:10,21.6,80.5,22.2,18.1
5/26/20 11:20,21.6,79.1,22.3,17.8
5/26/20 11:30,22.3,79.1,23,18.5
5/26/20 11:40,22.4,79.8,23.1,18.7
5/26/20 11:50,22.6,79.3,23.5,18.8
5/26/20 12:00,22,77.1,22.6,17.8
5/26/20 12:10,22.3,78.3,22.9,18.3
5/26/20 12:20,21.9,74.7,22.4,17.2
5/26/20 12:30,22.4,74.4,22.9,17.6
5/26/20 12:40,23.3,79,24.1,19.4
5/26/20 12:50,22.9,73.7,23.4,17.9
5/26/20 13:00,23.2,73.5,23.7,18.2
5/26/20 13:10,23.6,73.5,24.2,18.6
5/26/20 13:20,23.6,70.7,24.1,18
5/26/20 13:30,22.9,69.4,23.3,17
