Device Name,K3_2498468,,,
Device Model,Kestrel DROP 2,,,
Serial Number,2498468,,,
FORMATTED DATE-TIME,Temperature,Relative Humidity,Heat Stress Index,Dew Point
YYYY-MM-DD HH:MM:SS,°C,%,°C,°C
5/28/20 10:10,18.6,74.3,18.1,14
5/28/20 10:20,19.1,75.4,18.9,14.7
5/28/20 10:30,19.6,72.4,19.4,14.5
5/28/20 10:40,20.6,73,20.7,15.6
5/28/20 10:50,20.3,70.1,20.2,14.7
5/28/20 11:00,22.4,67.7,22.6,16.1
5/28/20 11:10,23.6,64.4,23.8,16.5
5/28/20 11:20,24.1,63.6,24.2,16.7
5/28/20 11:30,26.1,60.5,26.8,17.9
5/28/20 11:40,27.7,55.7,28.6,18.1
5/28/20 11:50,30.2,53.8,32.7,19.8
5/28/20 12:00,32.4,49,36.2,20.3
5/28/20 12:00,32.4,49,36.2,20.3
5/28/20 12:10,33.1,48.5,37.5,20.8
5/28/20 12:20,30.3,45.8,31.5,17.3
5/28/20 12:30,29.5,49,30.8,17.7
5/28/20 12:40,30.1,45.5,31.2,17
5/28/20 12:50,30.9,45.6,32.4,17.8
5/28/20 13:00,32.5,44,34.9,18.7
5/28/20 13:10,32.6,42.7,35,18.3
5/28/20 13:20,31.1,42.7,32.1,16.9
5/28/20 13:30,29.6,44.6,30.2,16.3
5/28/20 13:40,29.6,44.1,30.2,16.1
5/28/20 13:50,29.4,44.2,29.7,15.9
5/28/20 14:00,29.5,44.3,30,16.1
5/28/20 14:10,29.1,43.2,29.3,15.3
5/28/20 14:20,28.4,43.3,28.1,14.7
5/28/20 14:30,28.5,44.2,28.3,15.1
5/28/20 14:40,28.9,44.1,28.9,15.4
