Device Name,K3_2498468,,,
Device Model,Kestrel DROP 2,,,
Serial Number,2498468,,,
FORMATTED DATE-TIME,Temperature,Relative Humidity,Heat Stress Index,Dew Point
YYYY-MM-DD HH:MM:SS,°C,%,°C,°C
6/8/20 8:00,16.7,80.4,16.5,13.3
6/8/20 8:10,16.4,89.4,16.5,14.6
6/8/20 8:20,16.6,89.6,16.7,14.8
6/8/20 8:30,16.7,90.6,16.9,15.1
6/8/20 8:40,16.8,91.8,17.1,15.5
6/8/20 8:50,17.7,97.2,18.3,17.3
6/8/20 9:00,19.2,99.9,20.1,19.2
6/8/20 9:10,20.4,73.2,20.5,15.5
6/8/20 9:20,18.1,73.4,17.5,13.2
6/8/20 9:30,18.8,77.8,18.6,14.9
6/8/20 9:40,18.5,74.1,17.9,13.8
6/8/20 9:50,19,69.9,18.4,13.4
6/8/20 10:00,19.7,74.7,19.5,15
6/8/20 10:10,20.8,72.7,20.9,15.7
6/8/20 10:20,21.8,70.4,22.2,16.2
6/8/20 10:30,22.3,67.1,22.6,15.9
6/8/20 10:40,23,74.5,23.5,18.2
6/8/20 10:50,23.8,76.2,24.6,19.4
6/8/20 11:00,24.2,79.8,25.2,20.5
6/8/20 11:10,24.5,76.1,25.3,20
6/8/20 11:20,24.2,70.8,24.8,18.6
6/8/20 11:30,23.6,65.7,23.7,16.8
6/8/20 11:40,23.1,63,23.3,15.7
6/8/20 11:50,22.6,57.3,22.4,13.7
6/8/20 12:00,22.5,55.3,22.2,13.1
6/8/20 12:10,23.4,53.4,22.9,13.4
6/8/20 12:20,19.2,52.2,17.7,9.1
6/8/20 12:30,18.6,54.6,17,9.2
6/8/20 12:40,18.2,62.9,17,11
6/8/20 12:50,19,65.1,18.2,12.4
6/8/20 13:00,19.4,59.1,18.5,11.2
