Device Name,K4_2498476,,,
Device Model,Kestrel DROP 2,,,
Serial Number,2498476,,,
FORMATTED DATE-TIME,Temperature,Relative Humidity,Heat Stress Index,Dew Point
YYYY-MM-DD HH:MM:SS,°C,%,°C,°C
5/26/20 8:50,22.4,71.1,22.7,16.9
5/26/20 9:00,20.8,61.8,20.4,13.2
5/26/20 9:10,21.4,57.8,21.3,12.8
5/26/20 9:20,21.3,57.3,21.1,12.5
5/26/20 9:30,21.1,59.4,20.9,12.9
5/26/20 9:40,21.1,60.1,21,13.1
5/26/20 9:50,21.1,61.7,21,13.5
5/26/20 10:00,21.3,62.8,21.3,14
5/26/20 10:10,21.4,63.4,21.5,14.2
5/26/20 10:20,21.8,65.6,21.9,15
5/26/20 10:30,21.6,66.6,21.8,15.1
5/26/20 10:40,21.6,68.8,21.8,15.6
5/26/20 10:50,21.8,69.7,22.2,16
5/26/20 11:00,21.5,70,21.7,15.8
5/26/20 11:10,21.5,73.2,22,16.5
5/26/20 11:20,21.5,74.5,21.8,16.7
5/26/20 11:30,21.8,76.8,22.4,17.5
5/26/20 11:40,22,78.1,22.6,18
5/26/20 11:50,22.3,78.9,23,18.4
5/26/20 12:00,22.2,78.9,22.8,18.3
5/26/20 12:10,22.2,80.3,22.9,18.6
5/26/20 12:20,22.2,79.8,22.9,18.5
5/26/20 12:30,22.6,80.3,23.3,19
5/26/20 12:40,22.9,82.9,23.8,19.8
5/26/20 12:50,22.9,80.1,23.8,19.3
5/26/20 13:00,23,80.6,23.9,19.5
5/26/20 13:10,23.1,81,24.1,19.7
5/26/20 13:20,23.3,81.1,24.3,19.9
5/26/20 13:30,22.9,76.6,23.7,18.6
