Device Name,K4_2498476,,,
Device Model,Kestrel DROP 2,,,
Serial Number,2498476,,,
FORMATTED DATE-TIME,Temperature,Relative Humidity,Heat Stress Index,Dew Point
YYYY-MM-DD HH:MM:SS,°C,%,°C,°C
5/29/20 9:20,16.6,85.7,16.5,14.1
5/29/20 9:30,15.6,89.6,15.7,13.8
5/29/20 9:40,15.4,92.8,15.8,14.3
5/29/20 9:50,16.2,94,16.6,15.2
5/29/20 10:00,16.6,93.8,17,15.6
5/29/20 10:10,16.3,94.1,16.8,15.4
5/29/20 10:20,16,94,16.4,15
5/29/20 10:30,16,94.7,16.5,15.2
5/29/20 10:40,16.3,95.1,16.8,15.6
5/29/20 10:50,16.3,94.7,16.8,15.5
5/29/20 11:00,16.5,94.9,16.9,15.6
5/29/20 11:10,17.3,95.5,17.7,16.6
5/29/20 11:20,18.4,95,18.9,17.5
5/29/20 11:30,18.8,95.5,19.4,18.1
5/29/20 11:40,19.2,92.8,19.8,18
5/29/20 11:50,19.8,92.9,20.4,18.6
5/29/20 12:00,20.4,90.9,21.1,18.9
5/29/20 12:10,20.2,89.7,20.8,18.5
5/29/20 12:20,20.4,88.9,21,18.5
5/29/20 12:30,20.2,87.3,20.8,18
5/29/20 12:40,20.5,88.7,21.2,18.6
5/29/20 12:50,21.1,87.5,21.9,18.9
5/29/20 13:00,19.8,83.3,20,16.8
5/29/20 13:10,21,86.2,21.6,18.7
5/29/20 13:20,21.6,82.3,22.3,18.4
5/29/20 13:30,21.5,80.4,22,18
5/29/20 13:40,21.4,80.9,21.9,18
5/29/20 13:50,21.5,74,22,16.7
5/29/20 14:00,22,66.2,22.2,15.4
5/29/20 14:10,21.9,64.8,22.1,15
5/29/20 14:20,21.6,63.4,21.7,14.3
5/29/20 14:30,21.6,61.4,21.6,13.9
5/29/20 14:40,21.4,61,21.4,13.6
5/29/20 14:50,21.6,60.4,21.6,13.6
5/29/20 15:00,21.2,62.2,21.1,13.7
5/29/20 15:10,21.4,59.6,21.2,13.2
5/29/20 15:20,21.1,59.5,20.7,12.9
