Device Name,K4_2498476,,,
Device Model,Kestrel DROP 2,,,
Serial Number,2498476,,,
FORMATTED DATE-TIME,Temperature,Relative Humidity,Heat Stress Index,Dew Point
YYYY-MM-DD HH:MM:SS,°C,%,°C,°C
6/26/20 10:10,19.7,82.1,19.8,16.6
6/26/20 10:20,20.2,86.7,20.6,17.9
6/26/20 10:30,20.3,88.1,20.8,18.2
6/26/20 10:40,20.8,89.5,21.4,19
6/26/20 10:50,21.3,89.2,22,19.4
6/26/20 11:00,21.2,87.9,21.9,19.1
6/26/20 11:10,20.9,88.3,21.6,18.9
6/26/20 11:20,21,88.3,21.6,19
6/26/20 11:30,20.8,85.4,21.3,18.2
6/26/20 11:40,20.6,86.3,21,18.2
6/26/20 11:50,20.8,85.8,21.4,18.4
6/26/20 12:00,21.3,87.3,22,19.1
6/26/20 12:10,21.2,85.1,21.8,18.6
6/26/20 12:20,21.5,86,22.3,19.1
6/26/20 12:30,21.3,83.8,21.9,18.4
6/26/20 12:40,21.7,84.1,22.4,18.9
6/26/20 12:50,22.6,85,23.7,20
6/26/20 13:00,22.3,79.8,23,18.6
6/26/20 13:10,22.7,79.6,23.6,19
6/26/20 13:20,23.8,81.2,24.8,20.4
6/26/20 13:30,23.2,78.6,24.1,19.3
6/26/20 13:40,23.4,73.9,24.1,18.5
6/26/20 13:50,23.9,77.2,24.8,19.7
6/26/20 14:00,23.5,72.6,24,18.3
