Device Name,K4_2498476,,,
Device Model,Kestrel DROP 2,,,
Serial Number,2498476,,,
FORMATTED DATE-TIME,Temperature,Relative Humidity,Heat Stress Index,Dew Point
YYYY-MM-DD HH:MM:SS,°C,%,°C,°C
5/28/20 10:10,17.6,83.5,17.6,14.8
5/28/20 10:20,17.4,87.6,17.5,15.4
5/28/20 10:30,17.8,89.3,18,16.1
5/28/20 10:40,18.2,90.4,18.5,16.6
5/28/20 10:50,18.3,88.5,18.6,16.4
5/28/20 11:00,19.2,91.1,19.6,17.7
5/28/20 11:10,19.8,90.6,20.4,18.3
5/28/20 11:20,20.1,89.4,20.6,18.3
5/28/20 11:30,20.9,92,21.8,19.6
5/28/20 11:40,21.5,89.9,22.2,19.7
5/28/20 11:50,21.7,86.5,22.6,19.4
5/28/20 12:00,22.3,89.1,23.4,20.4
5/28/20 12:10,22.3,87,23.4,20.1
5/28/20 12:20,21.8,85.9,22.5,19.3
5/28/20 12:30,20.8,87.9,21.5,18.8
5/28/20 12:40,20.8,89.1,21.5,19
5/28/20 12:50,20.8,89.6,21.4,19
5/28/20 13:00,21.2,92.4,22.1,20
5/28/20 13:10,21.4,91.6,22.3,20
5/28/20 13:20,20.6,89.4,21.3,18.8
5/28/20 13:30,20,87.4,20.4,17.8
5/28/20 13:40,19.8,89.4,20.3,18
5/28/20 13:50,19.7,88.4,20.2,17.7
5/28/20 14:00,19.7,88.8,20.1,17.8
5/28/20 14:10,19.5,87.9,19.9,17.5
5/28/20 14:20,19.4,86.9,19.8,17.2
5/28/20 14:30,21.6,82.2,22.2,18.4
5/28/20 14:40,21.8,79.6,22.4,18.1
