Device Name,K5_2503410,,,
Device Model,Kestrel DROP 2,,,
Serial Number,2503410,,,
FORMATTED DATE-TIME,Temperature,Relative Humidity,Heat Stress Index,Dew Point
YYYY-MM-DD HH:MM:SS,°C,%,°C,°C
6/8/20 8:00,17.6,78.6,17.3,13.8
6/8/20 8:10,18.1,81.7,18,14.9
6/8/20 8:20,18.3,80.7,18.1,14.9
6/8/20 8:30,18.4,80.4,18.2,15
6/8/20 8:40,18.6,81.2,18.5,15.4
6/8/20 8:50,19.7,82.6,20,16.7
6/8/20 9:00,19.5,82.8,19.8,16.5
6/8/20 9:10,19.7,83.2,20,16.8
6/8/20 9:20,19.8,83.1,20,16.8
6/8/20 9:30,22,86.3,22.8,19.5
6/8/20 9:40,22.4,82.4,23.2,19.2
6/8/20 9:50,23.4,81.8,24.3,20.1
6/8/20 10:00,25.3,82.6,27.4,22.2
6/8/20 10:10,26.2,86.7,29.6,23.8
6/8/20 10:20,26.9,85.3,30.9,24.2
6/8/20 10:30,25.5,81.9,27.7,22.2
6/8/20 10:40,24.7,79.6,25.8,20.9
6/8/20 10:50,24.1,74.9,24.8,19.3
6/8/20 11:00,24.3,66.8,24.6,17.7
6/8/20 11:10,25.2,62.6,25.5,17.6
6/8/20 11:20,25.2,57,25,16
6/8/20 11:30,24.9,52.2,24.4,14.5
6/8/20 11:40,25,50.9,24.3,14.1
6/8/20 11:50,24.1,50,23.4,13
6/8/20 12:00,23.7,48.8,23,12.2
6/8/20 12:10,24.6,46.6,23.7,12.4
6/8/20 12:20,25.3,45.4,24.4,12.6
6/8/20 12:30,24.5,43.8,23.5,11.4
6/8/20 12:40,23.8,45.3,23,11.3
6/8/20 12:50,24.7,45.4,23.8,12.1
6/8/20 13:00,24.9,44.3,23.8,11.9
