Device Name,K5_2503410,,,
Device Model,Kestrel DROP 2,,,
Serial Number,2503410,,,
FORMATTED DATE-TIME,Temperature,Relative Humidity,Heat Stress Index,Dew Point
YYYY-MM-DD HH:MM:SS,°C,%,°C,°C
6/10/20 9:20,22,62.3,22,14.4
6/10/20 9:30,20.8,70.9,20.9,15.3
6/10/20 9:40,22,76.6,22.5,17.6
6/10/20 9:50,21.4,75.8,21.9,17
6/10/20 10:00,19.8,75.2,19.7,15.2
6/10/20 10:10,20.2,77.9,20.4,16.2
6/10/20 10:20,20,78.9,20.2,16.3
6/10/20 10:30,19.5,79.8,19.5,15.9
6/10/20 10:40,19.8,82.2,19.9,16.6
6/10/20 10:50,20.1,84,20.5,17.4
6/10/20 11:00,19.2,82.7,19.3,16.2
6/10/20 11:10,19.4,84.9,19.7,16.8
6/10/20 11:20,19.1,83.9,19.3,16.4
6/10/20 11:30,20.8,87.6,21.5,18.7
6/10/20 11:40,20.9,87.4,21.5,18.7
6/10/20 11:50,20.7,87.4,21.4,18.5
6/10/20 12:00,20.3,88.4,20.9,18.4
6/10/20 12:10,21.5,89.8,22.4,19.8
6/10/20 12:20,21,89.4,21.8,19.2
6/10/20 12:30,21.2,89.7,21.9,19.4
6/10/20 12:40,20.8,90.1,21.6,19.2
6/10/20 12:50,20.6,89.7,21.3,18.9
6/10/20 13:00,20,87.8,20.5,18
6/10/20 13:10,20.8,88.7,21.5,18.9
6/10/20 13:20,21.5,89.9,22.4,19.8
6/10/20 13:30,21.8,88.9,22.6,19.8
6/10/20 13:40,22,88.3,22.9,19.9
6/10/20 13:50,22.5,88.9,23.6,20.6
6/10/20 14:00,22.3,87.7,23.4,20.2
6/10/20 14:10,23,87.8,24.3,20.9
6/10/20 14:20,21,83.6,21.5,18.1
6/10/20 14:30,20.1,81.4,20.4,16.8
6/10/20 14:40,20,80.5,20.1,16.5
