Device Name,K5_2503410,,,
Device Model,Kestrel DROP 2,,,
Serial Number,2503410,,,
FORMATTED DATE-TIME,Temperature,Relative Humidity,Heat Stress Index,Dew Point
YYYY-MM-DD HH:MM:SS,°C,%,°C,°C
6/25/20 9:30,18.2,79.1,18,14.5
6/25/20 9:40,17.7,82.1,17.6,14.6
6/25/20 9:50,18.6,84.2,18.5,15.8
6/25/20 10:00,19,84.7,19.1,16.4
6/25/20 10:10,19.6,85.4,19.8,17
6/25/20 10:20,20.5,86.4,21,18.1
6/25/20 10:30,20,87.2,20.4,17.8
6/25/20 10:40,21.5,91,22.5,20
6/25/20 10:50,20.8,86.5,21.4,18.5
6/25/20 11:00,20.9,87.5,21.6,18.8
6/25/20 11:10,22.3,93.2,23.4,21.1
6/25/20 11:20,21.9,87.9,22.7,19.8
6/25/20 11:30,23.6,97.4,25.6,23.2
6/25/20 11:40,22.9,97.6,24.6,22.4
6/25/20 11:50,23.9,99.3,26.1,23.8
6/25/20 12:00,23,99.5,24.8,22.9
6/25/20 12:10,24,99.8,26.4,24
6/25/20 12:20,23,98.4,24.7,22.7
6/25/20 12:30,23,85.8,24,20.4
6/25/20 12:40,20.6,74.7,20.6,15.9
6/25/20 12:50,21.2,73.9,21.4,16.4
6/25/20 13:00,22.6,69.2,23,16.7
