0,K6_2503411,,,
Device Model,Kestrel DROP 2,,,
Serial Number,2503411,,,
FORMATTED DATE-TIME,Temperature,Relative Humidity,Heat Stress Index,Dew Point
YYYY-MM-DD HH:MM:SS,°C,%,°C,°C
5/27/20 8:30,21.7,74.7,22.1,17
5/27/20 8:40,20.2,86,20.7,17.8
5/27/20 8:50,19.7,90,20.3,18
5/27/20 9:00,19.5,92.1,20.1,18.2
5/27/20 9:10,19.7,94.4,20.4,18.8
5/27/20 9:20,20,96.4,20.8,19.4
5/27/20 9:30,20.2,97.9,21.2,19.9
5/27/20 9:40,20.3,98.6,21.2,20.1
5/27/20 9:50,20.4,99.6,21.4,20.4
5/27/20 10:00,20.2,100,21.2,20.2
5/27/20 10:10,20.1,100,21.1,20.1
5/27/20 10:20,20.3,100,21.2,20.3
5/27/20 10:30,20.7,100,21.7,20.7
5/27/20 10:40,21.1,100,22.2,21.1
5/27/20 10:50,21.4,100,22.4,21.4
5/27/20 11:00,21.8,100,23,21.8
5/27/20 11:10,21.8,100,23.1,21.8
5/27/20 11:20,21.8,100,23.1,21.8
5/27/20 11:30,21.9,100,23.1,21.9
5/27/20 11:40,22,100,23.4,22
5/27/20 11:50,22,100,23.3,22
5/27/20 12:00,22.4,100,23.9,22.4
5/27/20 12:10,23.2,100,25.1,23.2
5/27/20 12:20,23.4,72.8,23.9,18.2
5/27/20 12:30,23.7,80.7,24.8,20.2
5/27/20 12:40,23.6,86.7,25,21.2
5/27/20 12:50,23.2,84.9,24.3,20.5
5/27/20 13:00,23.2,85.7,24.4,20.7
5/27/20 13:10,22.7,81.8,23.6,19.5
5/27/20 13:20,22.5,83.5,23.5,19.6
5/27/20 13:30,22.7,82.8,23.6,19.6
5/27/20 13:40,22.3,82.4,23.2,19.2
5/27/20 13:50,22.3,84.3,23.1,19.5
5/27/20 14:00,22.5,89,23.7,20.6
5/27/20 14:10,22.6,88.6,23.7,20.6
5/27/20 14:20,22.4,86.2,23.3,20
5/27/20 14:30,22.4,86.4,23.4,20
