Device Name,K6_2503411,,,
Device Model,Kestrel DROP 2,,,
Serial Number,2503411,,,
FORMATTED DATE-TIME,Temperature,Relative Humidity,Heat Stress Index,Dew Point
YYYY-MM-DD HH:MM:SS,°C,%,°C,°C
6/9/20 9:20,22.9,87.6,24.1,20.7
6/9/20 9:30,21.6,95,22.7,20.8
6/9/20 9:40,21.1,97.4,22.1,20.7
6/9/20 9:50,21.5,97.8,22.7,21.2
6/9/20 10:00,21.9,98.3,23.2,21.6
6/9/20 10:10,22,96.6,23.3,21.5
6/9/20 10:20,22.8,97.9,24.4,22.4
6/9/20 10:30,21.3,89.5,22,19.5
6/9/20 10:40,21.9,91.6,23,20.5
6/9/20 10:50,22.2,88,23.3,20.1
6/9/20 11:00,22.4,87.6,23.5,20.3
6/9/20 11:10,23.4,88.9,24.8,21.5
6/9/20 11:20,24.2,90.3,25.9,22.5
6/9/20 11:30,23.3,86.5,24.7,21
6/9/20 11:40,24.5,77,25.4,20.2
6/9/20 11:50,24.2,70.2,24.6,18.4
6/9/20 12:00,24.5,66.6,24.7,17.8
6/9/20 12:10,24.3,58.5,24.2,15.7
6/9/20 12:20,25.5,57.1,25.6,16.4
6/9/20 12:30,25.8,55.5,25.8,16.2
6/9/20 12:40,26.5,52.1,26.6,15.9
6/9/20 12:50,26,50.4,25.6,14.8
6/9/20 13:00,27.1,49.4,27.1,15.6
6/9/20 13:10,26.5,45.3,25.9,13.8
6/9/20 13:20,27.3,45.5,26.8,14.5
6/9/20 13:30,27.8,42.8,27.2,14
6/9/20 13:40,27.5,40.7,26.6,12.9
6/9/20 13:50,28,39.7,27.1,13
