Device Name,K6_2503411,,,
Device Model,Kestrel DROP 2,,,
Serial Number,2503411,,,
FORMATTED DATE-TIME,Temperature,Relative Humidity,Heat Stress Index,Dew Point
YYYY-MM-DD HH:MM:SS,°C,%,°C,°C
5/26/20 8:50,23.6,72.8,24.1,18.4
5/26/20 9:00,23.5,88.7,24.9,21.5
5/26/20 9:10,24.5,91.5,26.6,23
5/26/20 9:20,25.1,89.6,27.3,23.2
5/26/20 9:30,26.1,90.1,30,24.4
5/26/20 9:40,27.3,81.5,31.2,23.8
5/26/20 9:50,28.2,74.8,32.3,23.3
5/26/20 10:00,29.2,69.7,33.9,23.1
5/26/20 10:10,29.8,63.2,33.9,22.1
5/26/20 10:20,30.7,60.2,35.1,22.1
5/26/20 10:30,30.7,57.9,34.7,21.5
5/26/20 10:40,31,58.4,35.4,21.9
5/26/20 10:50,31.9,55.1,36.5,21.7
5/26/20 11:00,32.1,53.4,36.5,21.4
5/26/20 11:10,31.9,55.1,36.7,21.8
5/26/20 11:20,32,54.8,36.9,21.8
5/26/20 11:30,33.1,51.9,38.4,21.8
5/26/20 11:40,33.4,51.2,39,22
5/26/20 11:50,34.3,49.2,40.3,22.2
5/26/20 12:00,34.2,50.5,40.3,22.4
5/26/20 12:10,34.1,49.9,40,22.2
5/26/20 12:20,34.4,49.1,40.5,22.2
5/26/20 12:30,35.4,47.7,42.2,22.6
5/26/20 12:40,35.2,49,42.5,22.9
5/26/20 12:50,35.8,47.2,43.1,22.8
5/26/20 13:00,35.9,45.8,42.7,22.4
5/26/20 13:10,35.3,48.6,42.2,22.8
5/26/20 13:20,30.7,56,34,20.9
5/26/20 13:30,28.2,63.4,30.3,20.6
