Device Name,K6_2503411,,,
Device Model,Kestrel DROP 2,,,
Serial Number,2503411,,,
FORMATTED DATE-TIME,Temperature,Relative Humidity,Heat Stress Index,Dew Point
YYYY-MM-DD HH:MM:SS,°C,%,°C,°C
5/28/20 10:10,15.2,88.9,15.4,13.4
5/28/20 10:20,15.4,91.3,15.6,13.9
5/28/20 10:30,15.5,92.3,15.9,14.3
5/28/20 10:40,16.2,93.2,16.5,15.1
5/28/20 10:50,15.8,92.4,16.1,14.5
5/28/20 11:00,16.7,93.9,17.1,15.7
5/28/20 11:10,17.3,93.9,17.7,16.3
5/28/20 11:20,17.6,93.5,17.9,16.5
5/28/20 11:30,18.4,94.1,18.9,17.4
5/28/20 11:40,18.8,93,19.2,17.6
5/28/20 11:50,18.6,89.9,18.8,16.9
5/28/20 12:00,19.8,90.9,20.3,18.2
5/28/20 12:10,20.1,88.1,20.6,18.1
5/28/20 12:20,19.2,86,19.4,16.8
5/28/20 12:30,19.2,86.6,19.5,17
5/28/20 12:40,19.6,83.5,19.8,16.7
5/28/20 12:50,20.2,82.8,20.5,17.2
5/28/20 13:00,21,82.1,21.4,17.8
5/28/20 13:10,21.5,81.1,22,18.1
5/28/20 13:20,20.8,79.4,21.3,17.1
5/28/20 13:30,20.2,79.2,20.4,16.5
5/28/20 13:40,20.3,81.1,20.7,17
5/28/20 13:50,20.5,80.9,20.8,17.1
5/28/20 14:00,20.8,81.5,21.3,17.5
5/28/20 14:10,20.4,80.1,20.6,16.8
5/28/20 14:20,20.4,78.8,20.6,16.6
5/28/20 14:30,20.3,78.2,20.5,16.4
5/28/20 14:40,20.7,78.6,20.9,16.8
