Device Name,K7_2503417,,,
Device Model,Kestrel DROP 2,,,
Serial Number,2503417,,,
FORMATTED DATE-TIME,Temperature,Relative Humidity,Heat Stress Index,Dew Point
YYYY-MM-DD HH:MM:SS,°C,%,°C,°C
5/26/20 8:50,19.5,71.8,19.2,14.3
5/26/20 8:50,19.5,71.8,19.2,14.3
5/26/20 9:00,18.9,83.8,19,16.1
5/26/20 9:10,19.6,88.7,20.1,17.7
5/26/20 9:20,19.5,89,20,17.7
5/26/20 9:30,20.1,90,20.7,18.4
5/26/20 9:40,20.5,90.3,21.1,18.8
5/26/20 9:50,21.4,90.5,22.3,19.8
5/26/20 10:00,22.1,90.8,23.1,20.5
5/26/20 10:10,22.2,90.2,23.4,20.5
5/26/20 10:20,23.2,90.9,24.7,21.6
5/26/20 10:30,22.9,88.9,24.1,21
5/26/20 10:40,23.4,89.4,24.9,21.6
5/26/20 10:50,23.8,89,25.3,21.8
5/26/20 11:00,22.8,87.1,23.9,20.5
5/26/20 11:10,23.4,87.8,24.8,21.3
5/26/20 11:20,23.7,87.8,25.2,21.6
5/26/20 11:30,25,89.9,27.1,23.2
5/26/20 11:40,25.2,89.4,27.6,23.3
5/26/20 11:50,26,89.7,29.7,24.2
5/26/20 12:00,25.4,87.5,27.9,23.1
5/26/20 12:10,26,88,29.5,23.9
5/26/20 12:20,25.6,87.6,28.5,23.4
5/26/20 12:30,25.9,87.8,29.3,23.7
5/26/20 12:40,28,90.9,34.3,26.3
5/26/20 12:50,26.5,87.3,30.5,24.2
5/26/20 13:00,26.9,87.6,31.5,24.7
5/26/20 13:10,27.1,92.3,32.4,25.7
5/26/20 13:20,24,99,26.4,23.8
5/26/20 13:30,22.7,99.7,24.3,22.6
