Device Name,K7_2503417,,,
Device Model,Kestrel DROP 2,,,
Serial Number,2503417,,,
FORMATTED DATE-TIME,Temperature,Relative Humidity,Heat Stress Index,Dew Point
YYYY-MM-DD HH:MM:SS,°C,%,°C,°C
5/27/20 8:30,24.9,55,24.5,15.2
5/27/20 8:40,24.2,59.3,24.1,15.8
5/27/20 8:50,23.9,60.2,23.9,15.7
5/27/20 9:00,24.2,60,24.1,16
5/27/20 9:10,24.8,58.3,24.6,16.1
5/27/20 9:20,26.8,58.1,27.4,17.8
5/27/20 9:30,26.6,55.2,27,16.9
5/27/20 9:40,26.9,55,27.2,17.1
5/27/20 9:50,26.4,52.9,26.4,16
5/27/20 10:00,25.8,53.2,25.7,15.6
5/27/20 10:10,25.9,53.7,25.8,15.8
5/27/20 10:20,26.3,52.9,26.2,15.9
5/27/20 10:30,27.8,51.6,28.2,17
5/27/20 10:40,29.7,50.4,31.2,18.3
5/27/20 10:50,29.7,49.1,30.9,17.8
5/27/20 11:00,29.9,45.8,30.7,16.9
5/27/20 11:10,29.7,44.9,30.4,16.5
5/27/20 11:20,29.1,44.8,29.3,15.8
5/27/20 11:30,29.4,44.4,29.7,16
5/27/20 11:40,29.4,44,29.6,15.8
5/27/20 11:50,28.6,42.7,28.4,14.7
5/27/20 12:00,30,42.7,30.4,15.9
5/27/20 12:10,31,42.4,32,16.7
5/27/20 12:20,30.3,41.2,30.8,15.7
5/27/20 12:30,31.4,41.4,32.5,16.7
5/27/20 12:40,31.8,39.7,32.7,16.4
5/27/20 12:50,30,40.7,30.2,15.2
5/27/20 13:00,30.5,41.2,30.9,15.8
5/27/20 13:10,28.2,42.8,27.8,14.4
5/27/20 13:20,28.4,44,28.2,15
5/27/20 13:30,28.1,42.9,27.7,14.3
5/27/20 13:40,27.6,45.1,27.2,14.6
5/27/20 13:50,27.6,64.6,29.4,20.3
5/27/20 14:00,24.8,74.7,25.7,20
5/27/20 14:10,24.3,58.8,24.2,15.8
5/27/20 14:20,23.5,52.1,23,13.1
5/27/20 14:30,23.6,50.4,23.1,12.7
