Device Name,K7_2503417,,,
Device Model,Kestrel DROP 2,,,
Serial Number,2503417,,,
FORMATTED DATE-TIME,Temperature,Relative Humidity,Heat Stress Index,Dew Point
YYYY-MM-DD HH:MM:SS,°C,%,°C,°C
5/28/20 10:10,18.4,74.1,17.8,13.7
5/28/20 10:20,18.5,77,18.1,14.4
5/28/20 10:30,19,80.9,18.9,15.6
5/28/20 10:40,19.4,84,19.5,16.6
5/28/20 10:50,19.5,85.7,19.7,17
5/28/20 11:00,20.5,88,21.1,18.4
5/28/20 11:10,21.4,89.5,22.1,19.6
5/28/20 11:20,21.5,90,22.3,19.8
5/28/20 11:30,22.7,91.8,24,21.3
5/28/20 11:40,23.4,92.5,25,22.1
5/28/20 11:50,23.8,92.8,25.5,22.5
5/28/20 12:00,25,94.4,27.8,24
5/28/20 12:10,24.9,93.7,27.4,23.8
5/28/20 12:20,24.3,93.4,26.4,23.2
5/28/20 12:30,23.8,92.7,25.7,22.6
5/28/20 12:40,24.2,92.9,26.2,23
5/28/20 12:50,24.4,92.4,26.4,23.1
5/28/20 13:00,25,92.8,27.7,23.8
5/28/20 13:10,25.2,92.4,27.8,23.8
5/28/20 13:20,24.7,91.4,26.9,23.2
5/28/20 13:30,24.1,90.2,25.9,22.4
5/28/20 13:40,24.2,89.9,26,22.5
5/28/20 13:50,24.2,89.1,26,22.3
5/28/20 14:00,24.2,88.7,25.9,22.2
5/28/20 14:10,24.3,88.1,26,22.2
5/28/20 14:20,24.1,87.2,25.7,21.9
5/28/20 14:30,24.3,86.7,25.8,21.9
5/28/20 14:40,24.1,85.8,25.6,21.6
