Device Name,K7_2503417,,,
Device Model,Kestrel DROP 2,,,
Serial Number,2503417,,,
FORMATTED DATE-TIME,Temperature,Relative Humidity,Heat Stress Index,Dew Point
YYYY-MM-DD HH:MM:SS,°C,%,°C,°C
6/10/20 9:20,24.8,62.6,24.9,17.2
6/10/20 9:30,27.8,62.1,29.5,19.9
6/10/20 9:40,31.8,57.5,37.1,22.4
6/10/20 9:50,28.6,54.6,30.1,18.6
6/10/20 10:00,25.9,56.1,25.9,16.4
6/10/20 10:10,27.1,57,27.9,17.9
6/10/20 10:20,27.1,55.8,27.7,17.5
6/10/20 10:30,25.9,55.8,26,16.4
6/10/20 10:40,26.9,54.6,27.3,17
6/10/20 10:50,26.7,53.4,26.9,16.4
6/10/20 11:00,24.9,55.8,24.6,15.5
6/10/20 11:10,26.4,53.8,26.5,16.2
6/10/20 11:20,25,54.8,24.5,15.2
6/10/20 11:30,29.4,52.8,31.1,18.8
6/10/20 11:40,28.4,49.9,29,17
6/10/20 11:50,28.2,48.9,28.4,16.4
6/10/20 12:00,27.8,49.1,27.9,16.2
6/10/20 12:10,29.7,47,30.6,17.2
6/10/20 12:20,29.2,45.3,29.7,16.2
6/10/20 12:30,28.5,45.9,28.5,15.7
6/10/20 12:40,28.2,45.1,28,15.2
6/10/20 12:50,27.9,44.2,27.4,14.6
6/10/20 13:00,27.1,45.4,26.6,14.3
6/10/20 13:10,27.6,46,27.4,14.9
6/10/20 13:20,28.4,43.2,28.2,14.7
6/10/20 13:30,28.5,44.6,28.5,15.3
6/10/20 13:40,28.2,45.5,28,15.3
6/10/20 13:50,29.3,40.1,29.2,14.4
6/10/20 14:00,28.4,43,28.2,14.7
6/10/20 14:10,29.2,42.9,29.3,15.3
6/10/20 14:20,25.9,48.3,25.4,14.2
6/10/20 14:30,24.4,50.2,23.8,13.4
6/10/20 14:40,24,52.2,23.4,13.6
